id,group,phase,priority,title,year,type,topic,why_it_matters,local_path,url,status,next_action
P21,frontier,5,medium,Shape From Polarization Cultural Heritage,2024,paper,polarization,"偏振成像用于文化遗产高分辨率表面重建，适合作为补充路线",papers/reading/05-frontier-reflectance-imaging/20-Shape_From_Polarization_Heritage/20-Shape_From_Polarization_Heritage.pdf,,downloaded,设计偏振片小实验
P22,frontier,5,medium,Polarization U-Net Surface Normal,2024,paper,polarization deep learning,"深度学习偏振法线估计，作为偏振路线进阶储备",papers/reading/05-frontier-reflectance-imaging/21-Polarization_UNet_Surface_Normal/21-Polarization_UNet_Surface_Normal.pdf,,downloaded,先跟踪不复现
P23,frontier,5,medium,Extended Framework for Multispectral RTI,2022,paper,multispectral RTI,"角度反射和波段信息结合，可区分刻痕/污染/墨迹/颜料残留",papers/reading/05-frontier-reflectance-imaging/22-Multispectral_RTI_Framework/22-Multispectral_RTI_Framework.pdf,https://hal.science/hal-03836363/document,downloaded,做可见光+NIR小实验
P24,frontier,5,medium,Reflectance Transformation Imaging for Detecting Knots in Heritage Timbers,2025,paper,portable RTI dome,"手持低成本RTI dome和RTI图像复用于SfM，启发现场画像石局部采集",papers/reading/02-heritage-epigraphy-cases/23-RTI_Heritage_Timbers/23-RTI_Heritage_Timbers.pdf,https://isprs-archives.copernicus.org/articles/XLVIII-M-9-2025/1289/2025/,downloaded,提取便携dome设计
P25,frontier,5,medium,The Use of Virtual RTI in Cultural Heritage,2024,paper,V-RTI,"通过3D模型模拟RTI，适合狭窄空间和无法真实多光照采集的浅浮雕",papers/reading/02-heritage-epigraphy-cases/29-Virtual_RTI_Cultural_Heritage/29-Virtual_RTI_Cultural_Heritage_note.md,https://www.mdpi.com/2076-3417/14/11/4768,read_note_pdf_missing,补PDF并测试虚拟斜光
P26,frontier,5,high,Neural reflectance transformation imaging,2020,paper,NeuralRTI,"神经RTI基础论文，用自编码器替代PTM/HSH固定基函数",papers/reading/05-frontier-reflectance-imaging/32-NeuralRTI_and_Distillation/35-NeuralRTI_and_Distillation_note.md,https://link.springer.com/article/10.1007/s00371-020-01910-9,read_note_repo_downloaded,用本地仓库跑示例
P27,frontier,5,high,DisK-NeuralRTI and fast neural RTI through distillation,2024-2025,paper,NeuralRTI compression,"知识蒸馏压缩神经RTI decoder，使Web实时查看更可行",papers/reading/05-frontier-reflectance-imaging/32-NeuralRTI_and_Distillation/35-NeuralRTI_and_Distillation_note.md,https://arxiv.org/html/2510.24486v1,read_note_pdf_missing,跟踪代码和OpenLIME插件
P28,frontier,5,medium,A Neural Reflectance Field Model for Accurate Relighting in RTI Applications,2025,paper,neural reflectance field,"隐式神经表示用于RTI重光照，复杂反射拟合更强",papers/reading/05-frontier-reflectance-imaging/32-NeuralRTI_and_Distillation/35-NeuralRTI_and_Distillation_note.md,https://iris.unive.it/handle/10278/5103913,read_note_pdf_missing,补PDF和数据集
P29,ai_annotation,6,high,Human figure detection in Han portrait stone images via enhanced YOLO-v5,2024,paper,Han YOLO,"目前最直接的汉画像石+YOLO论文，类别含伏羲女娲和乐舞人物",papers/reading/06-ai-annotation-line-drawing/24-Han_Portrait_Stone_YOLOv5/23-Han_Portrait_Stone_YOLOv5_note.md,https://www.nature.com/articles/s40494-024-01232-2,read_note_pdf_missing,自建YOLO数据集
P30,ai_annotation,6,medium,Relic2Contour,2025,paper,AI contour,"半监督GAN生成文物轮廓线图，适合数字拓片/研究线图方向",papers/reading/06-ai-annotation-line-drawing/25-Relic2Contour/24-Relic2Contour_note.md,https://www.nature.com/articles/s40494-025-01606-0,read_note_pdf_missing,跟踪代码和数据
P31,ai_annotation,6,high,Automated generation of archeological line drawings from sculpture point cloud,2025,paper,point cloud line drawing,"从石雕点云提取考古线图，可连接3D扫描/光度立体高度图",papers/reading/06-ai-annotation-line-drawing/26-Archaeological_Line_Drawings_Point_Cloud/25-Archaeological_Line_Drawings_Point_Cloud_note.md,https://www.nature.com/articles/s40494-025-01678-y,read_note_pdf_missing,补PDF和算法伪代码
P32,ai_annotation,6,medium,Generating archaeological line drawings from limited reference images,2026,paper,diffusion line drawing,"用FLUX/LoRA做小样本文物线图生成，适合汉画像石少样本场景",papers/reading/06-ai-annotation-line-drawing/34-Archaeological_Line_Drawings_Limited_References/33-Archaeological_Line_Drawings_Limited_References_note.md,https://www.nature.com/articles/s40494-026-02526-3,read_note_pdf_missing,跟踪代码和训练集
P33,ai_analysis,6,medium,Beyond relighting: RTI for clustering fragmented heritage textiles using deep learning,2026,paper,RTI feature learning,"RTI/HSH作为AI特征输入，不只用于看图，可迁移到纹样检索和残石拼合",papers/reading/05-frontier-reflectance-imaging/33-RTI_Deep_Learning_Textile_Clustering/32-RTI_Deep_Learning_Textile_Clustering_note.md,https://www.nature.com/articles/s40494-026-02326-9,read_note_pdf_missing,下载代码并复现
P34,ontology,7,high,ICON Ontology and iconological semantic statements,2023-2024,paper,iconology ontology,"为IIML解释层级、证据、研究者和图像学关系建模提供参考",papers/reading/06-ai-annotation-line-drawing/35-ICON_Ontology_Iconology/36-ICON_Ontology_Iconology_note.md,https://dl.acm.org/doi/10.1145/3594724,read_note,映射汉画像石词表
R01,repo,tools,high,Relight / RelightLab,2018-2026,repository,RTI processing,"现代RTI处理核心工具，支持RelightLab GUI、CLI、PTM/HSH/RBF、法线图和Web格式",repositories/README.md,https://github.com/cnr-isti-vclab/relight,tracked_not_downloaded,网络稳定后下载源码和Release
R02,repo,tools,high,OpenLIME,2025,repository,web viewer,"Web端RTI/多光谱/BRDF/神经重光照/标注框架，是发布和IIML结合重点",repositories/README.md,https://github.com/cnr-isti-vclab/openlime,tracked_not_downloaded,下载源码并做最小演示
R03,repo,tools,medium,RTIViewer,2018,repository,RTI viewer,"经典RTI/PTM/HSH查看器源码，适合理解老工具和格式兼容",repositories/README.md,https://github.com/bakulf/RTIViewer,tracked_not_downloaded,只作为参考
R04,repo,tools,high,NeuralRTI,2020,repository,NeuralRTI,"已下载Keras神经RTI实现，含示例数据",repositories/github/NeuralRTI,https://github.com/Univr-RTI/NeuralRTI,downloaded,建立可运行环境
R05,repo,tools,medium,SynthRTI,2020,repository,RTI benchmark,"NeuralRTI合成数据集，用于重光照质量评估",,https://github.com/Univr-RTI/SynthRTI,tracked_not_downloaded,下载小样本
R06,repo,tools,high,ImageJ Photometric Stereo Tools,,repository,photometric stereo,"Fiji/ImageJ中的文物光度立体工具，适合表面法线/高度实验",repositories/README.md,https://github.com/NU-ACCESS/ImageJ-Photometric-Stereo-tools,tracked_not_downloaded,下载并测试
R07,repo,tools,medium,visiont3lab photometric_stereo,,repository,photometric stereo,"Python/OpenCV Woodham光度立体教学基线",repositories/README.md,https://github.com/visiont3lab/photometric_stereo,tracked_not_downloaded,下载并跑硬币样本
R08,repo,tools,medium,yqueau near_ps,,repository,near light photometric stereo,"近场LED点光源光度立体，适合小型固定灯阵",repositories/README.md,https://github.com/yqueau/near_ps,tracked_not_downloaded,评估Matlab依赖
R09,repo,hardware,medium,RTIPy,2021-2023,repository,Arduino micro RTI dome,"Python+Arduino便携微型RTI dome方案，含3D打印和LED控制",,https://github.com/BeebBenjamin/RTIPy,tracked_not_downloaded,纳入硬件选型
R10,repo,hardware,medium,Affordable RTI Dome / artid,2017-2019,repository,low cost RTI dome,"低成本自动RTI dome，约600美元，适合参考结构和控制思路",,https://github.com/leszekmp/artid,tracked_not_downloaded,纳入硬件选型
R11,repo,hardware,medium,nichlock/rti,2020,repository,RTI hardware,"包含Arduino Mega shield、三色LED矩阵和GUI控制",,https://github.com/nichlock/rti,tracked_not_downloaded,参考电路设计
R12,repo,annotation,high,CVAT,2018-2026,repository,annotation platform,"工业级图像/视频标注平台，支持YOLO/COCO/分割/SAM自动标注",,https://github.com/cvat-ai/cvat,tracked_not_downloaded,作为正式标注平台候选
R13,repo,annotation,high,Label Studio,2019-2026,repository,annotation platform,"多类型数据标注平台，REST API和模型预标注适合研究数据管理",,https://github.com/HumanSignal/label-studio,tracked_not_downloaded,作为轻量协作标注候选
R14,repo,annotation,high,AnyLabeling,2023-2026,repository,AI assisted labeling,"桌面标注工具，支持YOLOv8、SAM、SAM2、SAM3、MobileSAM",,https://github.com/vietanhdev/anylabeling,tracked_not_downloaded,优先试用本地小数据
R15,repo,annotation,medium,Annotorious,2020-2026,repository,web annotation,"Web图像标注组件，支持IIIF/OpenSeadragon，适合IIML前端原型",,https://github.com/recogito/annotorious,tracked_not_downloaded,用于自研标注界面
R16,repo,line_drawing,medium,cuneiform_lineart,,repository,line drawing,"楔形文字线图生成代码，对浅刻文字和汉画像石线图有参考价值",repositories/README.md,https://github.com/laclark/cuneiform_lineart,tracked_not_downloaded,下载并分析
R17,repo,line_drawing,medium,Ceramatic2.0,2024-2025,repository,archaeological drawing,"考古陶器AI出版图工具，可借鉴检测到标准化线图的工程流程",repositories/README.md,https://github.com/lrncrd/Ceramatic2.0,tracked_not_downloaded,下载并分析输出格式
D01,dataset,data,high,CHI Fish Fossil RTI sample,,dataset,RTI sample,"最适合第一次跑通RTIBuilder/RelightLab的36张官方样例",,https://culturalheritageimaging.org/What_We_Offer/Downloads/Process/,external_dataset,下载1000px版本实验
D02,dataset,data,medium,VAT 15829 RTI Dataset,,dataset,cuneiform RTI,"楔形文字泥板RTI公开数据，适合浅刻文字增强观察",,https://datastore.uni-muenster.de/records/gmcn0-sac84,external_dataset,后续下载
D03,dataset,data,medium,VAT 18242 RTI Dataset,,dataset,cuneiform RTI,"大型楔形文字RTI数据，适合性能和存储测试",,https://datastore.uni-muenster.de/records/5n84d-0eg89,external_dataset,暂缓下载
D04,dataset,data,high,DiLiGenT-Pi Dataset,2023,dataset,photometric stereo,"近似平面细节光度立体基准，适合对标汉画像石微痕",,https://photometricstereo.github.io/,external_dataset,下载小样本
D05,dataset,data,medium,Antikythera Mechanism PTMs,2005,dataset,PTM inscriptions,"铭文和碎片PTM，适合学习PTM发布和开放数据授权",,http://archive.nyu.edu/handle/2451/44439,external_dataset,记录不全部下载
D06,dataset,data,high,河南汉画像石图像数据库,2017-2022,database,Han stone relief,"3600余原石照片、4000多拓片，含出土地点/题材/尺寸/技法/著录",,http://www.henanhanhua.com/,external_database,建立访问和引用规则
D07,dataset,data,high,漢代石刻畫象拓本數位典藏,,database,Han rubbings,"中研院史语所汉代石刻画像拓本数字典藏",,http://rub.ihp.sinica.edu.tw/~hanrelief/h/,external_database,整理可用图像和版权
D08,dataset,data,medium,Wikimedia Commons Han reliefs,,dataset,open images,"开放图片来源，适合快速YOLO/SAM小样本但质量不一",,https://commons.wikimedia.org/wiki/Category:Reliefs_of_the_Han_Dynasty,external_dataset,筛选可用图
D09,dataset,ontology,high,Chinese Iconography Thesaurus CIT,,database,Chinese iconography,"中国图像志索引典，含11000+概念和6000图像，是汉画像石词表的重要外部参照",,https://chineseiconography.org/,external_database,映射本地词表
H01,hardware,hardware,high,Low budget H-RTI kit,,hardware,H-RTI,"相机/手机、三脚架、手持LED、反光球、灰卡、比例尺、SSD，先跑通闭环",docs/02-capture-hardware/09-hardware-purchase-list.md,,planned,优先采购
H02,hardware,hardware,high,16-32 LED fixed light matrix,,hardware,photometric stereo,"固定灯位、逐灯拍摄、lights.csv、法线图和数字拓片的核心硬件",docs/02-capture-hardware/09-hardware-purchase-list.md,,planned,第二阶段搭建
H03,hardware,hardware,medium,Arduino controlled 45 LED dome,2020,paper,RTI dome,"45 LED、70cm半球、Arduino MEGA控制，成熟低成本RTI dome论文方案",papers/reading/07-hardware-rti-systems/41-Arduino_Controlled_RTI_45_LED_Dome/41-Arduino_Controlled_RTI_45_LED_Dome_guide.html,https://link.springer.com/article/10.1007/s42452-020-03343-4,read_source_html_guide_pdf_blocked,继续尝试补PDF并转入硬件设计
H04,hardware,hardware,medium,Easy to build RTI system,2022,paper,RTI dome,"约50 LED、Arduino、3D打印半球，给出STL和代码链接",papers/reading/07-hardware-rti-systems/42-Easy_To_Build_RTI_System/42-Easy_To_Build_RTI_System.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9139674/,downloaded,已补本地PDF和HTML精读
H05,hardware,hardware,medium,VCG ISTI RTI dome,,hardware,professional dome,"1m可拆半球、116 LED、5600K、5分钟采集，适合科研级参考",,https://vcg.isti.cnr.it/rti/acquisition.php,tracked,作为高预算目标
R18,repo,3d,high,COLMAP,2014-2026,repository,SfM MVS,"通用Structure-from-Motion和Multi-View Stereo工具，用于整体3D模型、相机位姿和RTI局部配准",,https://github.com/colmap/colmap,tracked_not_downloaded,下载Release并测试小样本
R19,repo,3d,high,Meshroom / AliceVision,2015-2026,repository,photogrammetry,"开源节点式摄影测量框架，2025版本包含Photometric Stereo和Multi-View Photometric Stereo方向",,https://github.com/alicevision/meshroom,tracked_not_downloaded,下载Release并测试对象建模
R20,repo,3d,medium,CloudCompare,2012-2026,repository,point cloud,"点云和三角网格处理工具，可用于点云比较、裁剪、配准和距离分析",,https://github.com/CloudCompare/CloudCompare,tracked_not_downloaded,用于3D结果质检
R21,repo,3d,medium,MeshLab,,software,mesh processing,"开源三维网格处理工具，用于清理、简化、重建、纹理和格式转换",,https://www.meshlab.net/,tracked_not_downloaded,用于3D后处理
R22,repo,3d_web,medium,Potree,2015-2026,repository,point cloud web viewer,"WebGL大型点云查看器，适合点云发布和浏览",,https://github.com/potree/potree,tracked_not_downloaded,用于大型点云Web展示
R23,repo,3d_web,medium,3DHOP,,framework,3D heritage web,"面向文化遗产高分辨率3D模型的Web展示框架",,https://3dhop.net/,tracked,用于3D模型发布调研
R24,repo,annotation,high,Ultralytics YOLO and SAM auto annotate,2023-2026,repository,YOLO SAM,"提供YOLO检测、SAM/SAM2分割和auto_annotate自动生成分割标签",,https://github.com/ultralytics/ultralytics,tracked_not_downloaded,用于YOLO/SAM预标注实验
R25,repo,iiif,medium,Mirador,2014-2026,repository,IIIF viewer,"IIIF多图像比较查看器，支持图像和注释展示",,https://github.com/IIIF/mirador,tracked_not_downloaded,用于IIIF展示调研
R26,repo,iiif,medium,Universal Viewer,2015-2026,repository,IIIF universal viewer,"IIIF和多媒体查看器，可展示图像、3D、PDF、音视频",,https://github.com/UniversalViewer/universalviewer,tracked_not_downloaded,用于发布方案评估
R27,repo,annotation,medium,Annotorious OpenSeadragon plugin,,repository,high-res image annotation,"OpenSeadragon高分辨率图像标注插件，支持W3C Web Annotation",,https://github.com/annotorious/annotorious-openseadragon,tracked_not_downloaded,用于IIML前端原型
R28,repo,data,high,DVC,2017-2026,repository,data versioning,"大数据和ML实验版本管理，适合RAW、训练集、模型权重不进Git但可追溯",,https://github.com/dataversioncontrol/dvc,tracked_not_downloaded,评估本地大数据管理
M01,method,workflow,high,Software stack and architecture blueprint,2026,local_doc,architecture,"采集、数据管理、处理、标注、发布和知识库软件栈总蓝图",docs/03-software-data/13-software-stack-and-architecture.md,,local_doc,持续更新
M02,method,validation,high,Validation and risk checklist,2026,local_doc,quality control,"约束RTI增强、光度立体、数字拓片、AI线图和标注结果可信度",docs/05-validation-indexes/14-validation-and-risk-checklist.md,,local_doc,用于每次实验验收
M03,method,annotation,high,Han stone relief annotation guidelines,2026,local_doc,annotation,"YOLO/SAM/IIML标注类别、流程、审核和数据划分指南",docs/04-han-stone-ai/annotation-guidelines.md,,local_doc,用于第一批标注
M04,method,tools,high,Tools evaluation 2026,2026,local_doc,tool selection,"RTI、3D、标注、发布和数据管理工具选型评估",docs/03-software-data/tools-evaluation-2026.md,,local_doc,用于安装优先级
